"pid", "laddr", "raddr", "status"

"5110","2601:646:8100:a04f::26bb@35138", "2607:f8b0:4005:809::200e@443", "ESTABLISHED" 

"5110","2601:646:8100:a04f::26bb@52864", "2607:f8b0:4005:80a::200d@443", "ESTABLISHED"

"5110","2601:646:8100:a04f::26bb@46674", "2607:f8b0:4005:809::2006@443", "ESTABLISHED" 

"5110","2601:646:8100:a04f::26bb@60772", "2607:f8b0:4005:809::2003@443", "ESTABLISHED"

"5110","2601:646:8100:a04f::26bb@48182", "2607:f8b0:4005:807::200e@443", "ESTABLISHED" 

"5110","2601:646:8100:a04f::26bb@50676", "2607:f8b0:400e:c00::bc@5228", "ESTABLISHED"

"5110","2601:646:8100:a04f::26bb@33592", "2607:f8b0:401e:27::b@443", "ESTABLISHED"

"5110","2601:646:8100:a04f::26bb@46968", "2607:f8b0:4005:809::200a@443", "ESTABLISHED" 

"5110","2601:646:8100:a04f::26bb@35166", "2607:f8b0:4005:809::200e@443", "ESTABLISHED" 

"5110","2601:646:8100:a04f::26bb@48260", "2607:f8b0:4005:805::2002@443", "ESTABLISHED"

"5110","2601:646:8100:a04f::26bb@48092", "2607:f8b0:4005:805::2001@443", "ESTABLISHED" 

"5110","10.0.0.173@48474", "172.217.6.34@443", "ESTABLISHED" 

"5110","10.0.0.173@39330", "216.127.170.10@443", "ESTABLISHED"

"5110","2601:646:8100:a04f::26bb@45040", "2607:f8b0:400e:c04::bd@443", "ESTABLISHED"

"5110","2601:646:8100:a04f::26bb@52942", "2607:f8b0:4005:80a::200d@443", "ESTABLISHED"

"5110","2601:646:8100:a04f::26bb@52854", "2607:f8b0:4005:80a::200d@443", "ESTABLISHED"

"5110","2601:646:8100:a04f::26bb@56712", "2607:f8b0:4005:805::200e@443", "ESTABLISHED" 

"5110","2601:646:8100:a04f::26bb@48252", "2607:f8b0:4005:807::200e@443", "ESTABLISHED"

"5110","2601:646:8100:a04f::26bb@60774", "2607:f8b0:4005:809::2003@443", "ESTABLISHED" 

"5110","2601:646:8100:a04f::26bb@44454", "2607:f8b0:4005:80a::200e@443", "ESTABLISHED" 

"5110","2601:646:8100:a04f::26bb@35174", "2607:f8b0:4005:809::200e@443", "ESTABLISHED"

"5110","2601:646:8100:a04f::26bb@45082", "2607:f8b0:4005:805::200a@443", "ESTABLISHED" 

"5110","2601:646:8100:a04f::26bb@44450", "2607:f8b0:4005:80a::200e@443", "ESTABLISHED"
"5110","2601:646:8100:a04f::26bb@36346", "2607:f8b0:4005:807::2003@443", "ESTABLISHED" 

"5110","2601:646:8100:a04f::26bb@60694", "2607:f8b0:4005:809::2003@443", "ESTABLISHED"
"5110","2601:646:8100:a04f::26bb@35116", "2607:f8b0:4005:809::200e@443", "ESTABLISHED"
"2391","10.0.0.173@54480", "40.122.211.15@50004", "ESTABLISHED"

"2391","10.0.0.173@37544", "40.114.7.33@50002", "ESTABLISHED"

"2391","10.0.0.173@54124", "40.112.141.208@50001", "ESTABLISHED" 

"2391","10.0.0.173@41558", "91.190.217.48@12350", "ESTABLISHED"
"2391","10.0.0.173@17569", "103.221.72.180@56502", "ESTABLISHED" 

"2391","10.0.0.173@48380", "68.191.162.231@38913", "ESTABLISHED" 

"2391","10.0.0.173@50038", "75.82.37.244@29955", "ESTABLISHED" 

"2391","0.0.0.0@17569", "75.82.37.244@29955", "LISTEN"

"2391","10.0.0.173@56150", "104.40.87.245@50006", "ESTABLISHED"
"2391","10.0.0.173@45938", "24.234.100.163@44094", "ESTABLISHED" 

"2391","10.0.0.173@44960", "64.4.23.161@40009", "ESTABLISHED" 
"3626","127.0.0.1@6942", "64.4.23.161@40009", "LISTEN" 

"3626","127.0.0.1@63342", "64.4.23.161@40009", "LISTEN" 

"3626","10.0.0.173@49416", "54.225.64.222@80", "ESTABLISHED" 
